C828  10 07     BPL $C831                       A:FF X:12 Y:00 P:EF SP:FB
C82A  50 05     BVC $C831                       A:FF X:12 Y:00 P:EF SP:FB
C82C  90 03     BCC $C831                       A:FF X:12 Y:00 P:EF SP:FB
C82E  4C 35 C8  JMP $C835                       A:FF X:12 Y:00 P:EF SP:FB
C835  EA        NOP                             A:FF X:12 Y:00 P:EF SP:FB
C836  A9 04     LDA #$04                        A:FF X:12 Y:00 P:EF SP:FB
C838  48        PHA                             A:04 X:12 Y:00 P:6D SP:FB
C839  28        PLP                             A:04 X:12 Y:00 P:6D SP:FA
C83A  F0 09     BEQ $C845                       A:04 X:12 Y:00 P:24 SP:FB
C83C  30 07     BMI $C845                       A:04 X:12 Y:00 P:24 SP:FB
C83E  70 05     BVS $C845                       A:04 X:12 Y:00 P:24 SP:FB
C840  B0 03     BCS $C845                       A:04 X:12 Y:00 P:24 SP:FB
C842  4C 49 C8  JMP $C849                       A:04 X:12 Y:00 P:24 SP:FB
C849  EA        NOP                             A:04 X:12 Y:00 P:24 SP:FB
C84A  F8        SED                             A:04 X:12 Y:00 P:24 SP:FB
C84B  A9 FF     LDA #$FF                        A:04 X:12 Y:00 P:2C SP:FB
C84D  85 01     STA $01                         A:FF X:12 Y:00 P:AC SP:FB
C84F  24 01     BIT $01                         A:FF X:12 Y:00 P:AC SP:FB
C851  18        CLC                             A:FF X:12 Y:00 P:AC SP:FB
C852  A9 00     LDA #$00                        A:FF X:12 Y:00 P:AC SP:FB
C854  48        PHA                             A:00 X:12 Y:00 P:2E SP:FB
C855  A9 FF     LDA #$FF                        A:00 X:12 Y:00 P:2E SP:FA
C857  68        PLA                             A:FF X:12 Y:00 P:AC SP:FA
C858  D0 09     BNE $C863                       A:00 X:12 Y:00 P:2E SP:FB
C85A  30 07     BMI $C863                       A:00 X:12 Y:00 P:2E SP:FB
C85C  50 05     BVC $C863                       A:00 X:12 Y:00 P:2E SP:FB
C863  A2 16     LDX #$16                        A:00 X:12 Y:00 P:2E SP:FB
C865  86 00     STX $00                         A:00 X:16 Y:00 P:2C SP:FB
C867  EA        NOP                             A:00 X:16 Y:00 P:2C SP:FB
C868  A9 00     LDA #$00                        A:00 X:16 Y:00 P:2C SP:FB
C86A  85 01     STA $01                         A:00 X:16 Y:00 P:2E SP:FB
C86C  24 01     BIT $01                         A:00 X:16 Y:00 P:2E SP:FB
C86E  38        SEC                             A:00 X:16 Y:00 P:2E SP:FB
C86F  A9 FF     LDA #$FF                        A:00 X:16 Y:00 P:2F SP:FB
